"","ID","sexage","events2019-celanoc","events2020-celanoc","events2021-celanoc","events2019","events2020","events2021","events","events-celanoc","minutes2019","minutes2020","minutes2021","minutes","inter2019","inter2020","inter2021","interactions","years","days2019","days2020","days2021","days","interactions_relative","activity_relative","interactions2s","interactions5s","interactions10s","index1","index2"
"216","ID314","JUV",NA,390,NA,NA,203,NA,203,390,NA,77.47,NA,NA,NA,356,NA,356,1,NA,14,NA,14,25.4285714285714,27.8571428571429,60,168,356,1.20118343195266,-4.79336793339197
"217","ID315","JUV",NA,68,NA,NA,53,NA,53,68,NA,134.98,NA,NA,NA,10,NA,10,1,NA,4,NA,4,2.5,17,3,6,10,7.57142857142857,7.94712234555985
"218","ID316","JUV",NA,319,NA,NA,196,NA,196,319,NA,62.26,NA,NA,NA,123,NA,123,1,NA,16,NA,16,7.6875,19.9375,16,45,123,4.26086956521739,1.32600433313749
"219","ID317","JUV",NA,193,NA,NA,135,NA,135,193,NA,103.22,NA,NA,NA,76,NA,76,1,NA,12,NA,12,6.33333333333333,16.0833333333333,10,32,76,4.09090909090909,0.986083384520884
"220","ID318","JUV",NA,191,NA,NA,155,NA,155,191,NA,95.95,NA,NA,NA,180,NA,180,1,NA,15,NA,15,12,12.7333333333333,34,82,180,1.86746987951807,-3.46079503826115
"221","ID319","JUV",NA,1046,NA,NA,828,NA,828,1046,NA,100.53,NA,NA,NA,563,NA,563,1,NA,17,NA,17,33.1176470588235,61.5294117647059,101,272,563,3.03296703296703,-1.12980073136323
"222","ID320","JUV",NA,27,NA,NA,24,NA,24,27,NA,3.63,NA,NA,NA,63,NA,63,1,NA,1,NA,1,63,27,9,30,63,0.774193548387097,-5.6473477005231
"223","ID321","JUV",NA,59,NA,NA,49,NA,49,59,NA,25.36,NA,NA,NA,24,NA,24,1,NA,11,NA,11,2.18181818181818,5.36363636363636,3,11,24,4.08333333333333,0.970931869369369
"224","ID322","JUV",NA,80,NA,NA,64,NA,64,80,NA,24.37,NA,NA,NA,60,NA,60,1,NA,9,NA,9,6.66666666666667,8.88888888888889,21,31,60,2,-3.1957347972973
"225","ID323","JUV",NA,56,NA,NA,49,NA,49,56,NA,52.04,NA,NA,NA,53,NA,53,1,NA,7,NA,7,7.57142857142857,8,9,29,53,1.63333333333333,-3.92906813063063
