ID,sexage,events,cooccurrences5s
ID340,JUV,22,32
ID341,JUV,43,20
ID343,JUV,14,3
ID345,JUV,33,39
ID346,JUV,1,0
ID349,JUV,205,240
ID350,JUV,54,105
ID352,JUV,10,8
ID356,JUV,60,5
ID359,JUV,26,31
ID360,JUV,1,3
ID361,JUV,6,16
ID365,FAY,141,25
ID367,FAO,28,29
ID370,FAO,64,14
ID374,FAO,34,2
ID375,JUV,15,16
ID378,JUV,36,18
